Vardas                   Pavarde                  ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas59                 Pavarde59                5         3         2         8         5         1         
Vardas60                 Pavarde60                7         7         6         10        1         8         
Vardas61                 Pavarde61                7         7         6         1         4         6         
Vardas62                 Pavarde62                6         10        8         10        7         1         
Vardas63                 Pavarde63                6         5         3         3         5         4         
Vardas64                 Pavarde64                10        6         3         6         6         6         
Vardas65                 Pavarde65                1         9         8         3         4         9         
Vardas66                 Pavarde66                9         9         8         10        7         9         
Vardas67                 Pavarde67                1         10        9         8         1         10        
Vardas68                 Pavarde68                8         6         5         9         2         10        
Vardas69                 Pavarde69                7         10        5         9         1         9         
Vardas70                 Pavarde70                5         1         2         4         5         3         
Vardas71                 Pavarde71                10        2         4         7         10        7         
Vardas72                 Pavarde72                6         2         2         6         3         7         
Vardas73                 Pavarde73                10        7         4         1         6         9         
Vardas74                 Pavarde74                5         4         9         10        10        3         
Vardas75                 Pavarde75                4         9         9         1         2         6         
Vardas76                 Pavarde76                8         9         6         1         7         10        
Vardas77                 Pavarde77                6         6         8         1         4         4         
Vardas78                 Pavarde78                4         6         10        3         6         6         
Vardas79                 Pavarde79                8         7         5         6         3         3         
Vardas80                 Pavarde80                3         6         4         8         3         7         
Vardas81                 Pavarde81                6         7         4         5         6         2         
Vardas82                 Pavarde82                5         7         9         5         8         4         
Vardas83                 Pavarde83                5         5         7         4         2         10        
Vardas84                 Pavarde84                9         8         2         9         8         1         
Vardas85                 Pavarde85                6         9         2         7         8         7         
Vardas86                 Pavarde86                3         8         3         4         5         2         
Vardas87                 Pavarde87                1         5         6         9         4         8         
Vardas88                 Pavarde88                7         9         1         2         5         5         
Vardas89                 Pavarde89                9         1         10        2         4         10        
Vardas90                 Pavarde90                6         5         7         7         1         1         
Vardas91                 Pavarde91                2         4         7         5         8         4         
Vardas92                 Pavarde92                1         1         7         5         5         1         
Vardas93                 Pavarde93                7         4         5         4         1         5         
Vardas94                 Pavarde94                9         7         1         1         5         3         
Vardas95                 Pavarde95                8         3         5         9         5         4         
Vardas96                 Pavarde96                1         5         5         9         7         6         
Vardas97                 Pavarde97                5         10        10        4         6         7         
Vardas98                 Pavarde98                1         4         6         4         9         7         
Vardas99                 Pavarde99                2         9         9         7         3         7         
Vardas100                Pavarde100               1         10        1         6         8         5         
Vardas101                Pavarde101               5         7         5         10        1         10        
Vardas102                Pavarde102               2         2         6         5         10        1         
Vardas103                Pavarde103               6         4         3         4         8         8         
Vardas104                Pavarde104               7         2         5         4         8         4         
Vardas105                Pavarde105               1         2         4         1         3         8         
Vardas106                Pavarde106               10        7         3         2         8         4         
Vardas107                Pavarde107               1         2         8         10        2         10        
Vardas108                Pavarde108               5         7         10        3         8         5         
Vardas109                Pavarde109               1         5         5         8         7         1         
Vardas110                Pavarde110               6         2         3         9         8         7         
Vardas111                Pavarde111               10        10        3         3         3         1         
Vardas112                Pavarde112               4         4         10        6         8         9         
Vardas113                Pavarde113               10        10        10        2         3         3         
Vardas114                Pavarde114               10        5         5         3         2         7         
Vardas115                Pavarde115               2         4         3         7         2         8         
Vardas116                Pavarde116               10        10        4         1         2         8         
Vardas117                Pavarde117               5         2         2         2         9         6         
Vardas118                Pavarde118               5         2         4         7         2         6         
Vardas119                Pavarde119               4         6         10        4         2         4         
Vardas120                Pavarde120               3         4         8         8         7         5         
Vardas121                Pavarde121               2         6         2         9         4         4         
Vardas122                Pavarde122               3         9         4         7         10        8         
Vardas123                Pavarde123               8         3         4         10        5         9         
Vardas124                Pavarde124               8         1         5         1         1         6         
Vardas125                Pavarde125               1         4         6         7         7         10        
Vardas126                Pavarde126               4         10        9         2         8         8         
Vardas127                Pavarde127               7         4         3         9         3         1         
Vardas128                Pavarde128               4         6         7         9         10        5         
Vardas129                Pavarde129               4         1         3         1         2         4         
Vardas130                Pavarde130               4         7         9         1         6         4         
Vardas131                Pavarde131               3         9         10        10        1         6         
Vardas132                Pavarde132               9         2         5         5         1         5         
Vardas133                Pavarde133               4         4         4         9         4         3         
Vardas134                Pavarde134               1         8         9         4         6         10        
Vardas135                Pavarde135               6         8         5         8         7         4         
Vardas136                Pavarde136               1         4         4         6         5         4         
Vardas137                Pavarde137               8         10        2         7         10        1         
Vardas138                Pavarde138               8         5         2         10        3         3         
Vardas139                Pavarde139               4         4         5         2         8         9         
Vardas140                Pavarde140               6         5         3         8         4         8         
Vardas141                Pavarde141               4         1         2         4         9         9         
Vardas142                Pavarde142               9         8         5         10        7         6         
Vardas143                Pavarde143               10        7         6         5         4         4         
Vardas144                Pavarde144               5         7         6         2         3         1         
Vardas145                Pavarde145               9         7         4         5         8         9         
Vardas146                Pavarde146               8         9         10        5         7         3         
Vardas147                Pavarde147               3         4         5         10        7         6         
Vardas148                Pavarde148               7         8         1         9         3         2         
Vardas149                Pavarde149               3         10        3         5         2         1         
Vardas150                Pavarde150               2         9         8         8         4         6         
Vardas151                Pavarde151               2         10        6         5         8         6         
Vardas152                Pavarde152               8         5         5         7         1         10        
Vardas153                Pavarde153               7         1         7         1         9         2         
Vardas154                Pavarde154               6         7         2         2         6         4         
Vardas155                Pavarde155               5         5         10        6         8         5         
Vardas156                Pavarde156               9         9         1         2         10        5         
Vardas157                Pavarde157               4         1         1         1         7         4         
Vardas158                Pavarde158               1         5         7         1         10        1         
Vardas159                Pavarde159               2         9         5         4         10        3         
Vardas160                Pavarde160               10        3         2         8         5         6         
Vardas161                Pavarde161               8         9         4         9         7         9         
Vardas162                Pavarde162               2         7         6         5         10        7         
Vardas163                Pavarde163               8         3         3         8         9         3         
Vardas164                Pavarde164               3         6         4         4         7         2         
Vardas165                Pavarde165               8         6         10        6         9         8         
Vardas166                Pavarde166               2         6         3         6         10        1         
Vardas167                Pavarde167               3         2         5         1         4         6         
Vardas168                Pavarde168               9         8         9         10        1         7         
Vardas169                Pavarde169               3         2         10        6         9         3         
Vardas170                Pavarde170               2         9         2         6         10        4         
Vardas171                Pavarde171               6         1         7         8         6         8         
Vardas172                Pavarde172               1         9         4         3         1         9         
Vardas173                Pavarde173               4         4         2         1         1         4         
Vardas174                Pavarde174               5         3         2         2         5         3         
Vardas175                Pavarde175               6         2         6         2         6         3         
Vardas176                Pavarde176               5         4         10        6         2         8         
Vardas177                Pavarde177               1         6         9         10        10        9         
Vardas178                Pavarde178               1         3         9         5         3         6         
Vardas179                Pavarde179               9         8         1         6         8         6         
Vardas180                Pavarde180               2         8         8         2         3         4         
Vardas181                Pavarde181               3         3         5         9         4         1         
Vardas182                Pavarde182               9         1         5         5         6         5         
Vardas183                Pavarde183               3         3         6         7         4         9         
Vardas184                Pavarde184               2         9         9         5         4         3         
Vardas185                Pavarde185               5         5         1         4         10        4         
Vardas186                Pavarde186               1         2         2         2         6         6         
Vardas187                Pavarde187               7         3         5         7         4         2         
Vardas188                Pavarde188               7         6         7         8         2         4         
Vardas189                Pavarde189               8         7         5         8         4         5         
Vardas190                Pavarde190               10        3         9         4         8         9         
Vardas191                Pavarde191               8         5         4         2         3         9         
Vardas192                Pavarde192               7         9         3         10        5         4         
Vardas193                Pavarde193               6         1         8         5         1         3         
Vardas194                Pavarde194               7         9         6         5         10        8         
Vardas195                Pavarde195               8         6         5         1         2         8         
Vardas196                Pavarde196               7         5         9         5         3         7         
Vardas197                Pavarde197               5         7         1         4         10        4         
Vardas198                Pavarde198               6         5         6         6         8         7         
Vardas199                Pavarde199               3         2         8         5         3         5         
Vardas200                Pavarde200               2         1         6         10        4         1         
Vardas201                Pavarde201               7         6         9         1         10        9         
Vardas202                Pavarde202               5         3         4         8         9         3         
Vardas203                Pavarde203               1         4         3         4         8         1         
Vardas204                Pavarde204               1         6         1         9         1         9         
Vardas205                Pavarde205               5         4         10        5         10        5         
Vardas206                Pavarde206               4         4         7         4         5         5         
Vardas207                Pavarde207               8         5         1         1         10        7         
Vardas208                Pavarde208               1         10        1         3         5         8         
Vardas209                Pavarde209               6         3         8         7         9         6         
Vardas210                Pavarde210               7         7         10        8         8         8         
Vardas211                Pavarde211               5         8         6         3         8         10        
Vardas212                Pavarde212               5         8         3         3         3         7         
Vardas213                Pavarde213               4         6         1         7         5         6         
Vardas214                Pavarde214               10        9         9         3         3         9         
Vardas215                Pavarde215               5         9         8         1         2         8         
Vardas216                Pavarde216               8         1         8         3         10        3         
Vardas217                Pavarde217               7         7         5         3         8         6         
Vardas218                Pavarde218               1         10        10        10        5         7         
Vardas219                Pavarde219               5         7         9         9         3         7         
Vardas220                Pavarde220               4         6         6         7         7         8         
Vardas221                Pavarde221               5         9         6         10        10        6         
Vardas222                Pavarde222               8         5         9         5         7         8         
Vardas223                Pavarde223               5         2         9         6         1         3         
Vardas224                Pavarde224               3         3         3         2         10        5         
Vardas225                Pavarde225               1         6         9         6         9         8         
Vardas226                Pavarde226               8         8         3         7         9         7         
Vardas227                Pavarde227               9         10        3         6         3         6         
Vardas228                Pavarde228               7         2         7         1         5         6         
Vardas229                Pavarde229               3         1         9         3         4         5         
Vardas230                Pavarde230               9         8         2         4         5         9         
Vardas231                Pavarde231               8         10        6         8         4         9         
Vardas232                Pavarde232               10        2         9         10        8         6         
Vardas233                Pavarde233               2         3         6         4         1         9         
Vardas234                Pavarde234               1         9         2         7         10        8         
Vardas235                Pavarde235               9         10        2         1         9         4         
Vardas236                Pavarde236               9         6         8         5         6         9         
Vardas237                Pavarde237               9         2         7         7         4         8         
Vardas238                Pavarde238               7         7         9         1         1         5         
Vardas239                Pavarde239               10        7         7         4         5         2         
Vardas240                Pavarde240               6         7         8         5         6         1         
Vardas241                Pavarde241               9         4         5         1         5         8         
Vardas242                Pavarde242               10        6         9         3         3         8         
Vardas243                Pavarde243               9         1         7         1         4         7         
Vardas244                Pavarde244               9         3         1         10        1         2         
Vardas245                Pavarde245               4         7         9         2         5         2         
Vardas246                Pavarde246               8         9         6         2         10        4         
Vardas247                Pavarde247               4         8         10        8         1         9         
Vardas248                Pavarde248               9         5         3         7         5         7         
Vardas249                Pavarde249               9         10        7         7         4         6         
Vardas250                Pavarde250               4         6         6         6         7         4         
Vardas251                Pavarde251               3         9         1         3         2         10        
Vardas252                Pavarde252               3         1         10        5         7         3         
Vardas253                Pavarde253               10        7         8         4         10        7         
Vardas254                Pavarde254               9         8         10        1         5         6         
Vardas255                Pavarde255               3         1         5         1         8         3         
Vardas256                Pavarde256               10        7         4         4         6         10        
Vardas257                Pavarde257               2         2         2         3         8         1         
Vardas258                Pavarde258               3         3         10        8         10        4         
Vardas259                Pavarde259               5         9         5         7         9         1         
Vardas260                Pavarde260               4         5         5         7         7         1         
Vardas261                Pavarde261               4         5         7         5         6         1         
Vardas262                Pavarde262               8         9         2         3         1         6         
Vardas263                Pavarde263               1         4         9         3         7         7         
Vardas264                Pavarde264               5         9         1         9         6         10        
Vardas265                Pavarde265               8         4         8         7         4         2         
Vardas266                Pavarde266               1         4         7         4         8         4         
Vardas267                Pavarde267               9         8         6         8         7         6         
Vardas268                Pavarde268               5         2         7         3         10        3         
Vardas269                Pavarde269               4         1         6         9         9         3         
Vardas270                Pavarde270               2         1         5         4         10        6         
Vardas271                Pavarde271               8         7         10        10        6         3         
Vardas272                Pavarde272               7         6         5         6         10        2         
Vardas273                Pavarde273               3         6         8         1         7         5         
Vardas274                Pavarde274               6         4         4         8         8         6         
Vardas275                Pavarde275               6         10        4         9         4         1         
Vardas276                Pavarde276               3         2         10        3         3         7         
Vardas277                Pavarde277               4         9         10        3         4         10        
Vardas278                Pavarde278               2         5         2         3         10        4         
Vardas279                Pavarde279               2         9         9         5         10        9         
Vardas280                Pavarde280               4         1         5         3         5         2         
Vardas281                Pavarde281               1         2         1         5         3         8         
Vardas282                Pavarde282               8         7         2         3         1         5         
Vardas283                Pavarde283               5         4         10        6         1         7         
Vardas284                Pavarde284               7         5         2         8         6         6         
Vardas285                Pavarde285               8         8         6         2         10        8         
Vardas286                Pavarde286               9         9         6         10        8         9         
Vardas287                Pavarde287               1         7         5         7         3         6         
Vardas288                Pavarde288               8         2         2         8         5         10        
Vardas289                Pavarde289               7         3         1         5         8         10        
Vardas290                Pavarde290               7         10        3         9         3         1         
Vardas291                Pavarde291               6         6         2         7         5         7         
Vardas292                Pavarde292               3         5         10        7         3         8         
Vardas293                Pavarde293               8         3         7         1         3         1         
Vardas294                Pavarde294               9         7         2         3         8         10        
Vardas295                Pavarde295               10        8         5         4         10        9         
Vardas296                Pavarde296               5         5         7         3         8         3         
Vardas297                Pavarde297               9         4         1         7         7         7         
Vardas298                Pavarde298               2         5         7         1         7         1         
Vardas299                Pavarde299               1         9         2         2         5         10        
Vardas300                Pavarde300               5         9         7         3         7         1         
Vardas301                Pavarde301               1         1         5         4         3         2         
Vardas302                Pavarde302               6         1         10        4         7         8         
Vardas303                Pavarde303               9         2         8         3         1         7         
Vardas304                Pavarde304               9         10        9         6         7         3         
Vardas305                Pavarde305               8         7         1         7         8         2         
Vardas306                Pavarde306               4         9         9         2         9         3         
Vardas307                Pavarde307               7         4         8         2         8         4         
Vardas308                Pavarde308               3         1         3         5         8         2         
Vardas309                Pavarde309               6         5         4         10        9         7         
Vardas310                Pavarde310               3         9         3         3         10        5         
Vardas311                Pavarde311               6         8         4         9         2         7         
Vardas312                Pavarde312               4         6         7         5         9         4         
Vardas313                Pavarde313               8         1         1         3         1         4         
Vardas314                Pavarde314               6         4         2         7         2         7         
Vardas315                Pavarde315               2         10        2         4         6         1         
Vardas316                Pavarde316               10        4         2         7         2         8         
Vardas317                Pavarde317               5         9         5         4         7         9         
Vardas318                Pavarde318               2         8         3         5         7         6         
Vardas319                Pavarde319               6         6         3         3         4         7         
Vardas320                Pavarde320               10        3         4         4         3         7         
Vardas321                Pavarde321               8         10        9         3         9         2         
Vardas322                Pavarde322               10        7         3         6         3         8         
Vardas323                Pavarde323               4         4         2         3         10        2         
Vardas324                Pavarde324               3         8         10        7         2         4         
Vardas325                Pavarde325               1         7         8         10        3         7         
Vardas326                Pavarde326               10        3         8         2         6         10        
Vardas327                Pavarde327               7         9         4         6         3         4         
Vardas328                Pavarde328               8         5         3         4         4         6         
Vardas329                Pavarde329               5         6         10        1         2         7         
Vardas330                Pavarde330               1         8         2         8         1         5         
Vardas331                Pavarde331               9         1         8         8         7         3         
Vardas332                Pavarde332               9         4         6         4         1         3         
Vardas333                Pavarde333               9         1         7         3         1         8         
Vardas334                Pavarde334               6         9         5         1         9         2         
Vardas335                Pavarde335               1         2         7         4         3         10        
Vardas336                Pavarde336               1         1         9         5         10        5         
Vardas337                Pavarde337               6         1         3         3         4         4         
Vardas338                Pavarde338               10        1         9         4         4         1         
Vardas339                Pavarde339               5         4         6         9         5         6         
Vardas340                Pavarde340               7         3         9         1         4         10        
Vardas341                Pavarde341               7         8         6         9         9         1         
Vardas342                Pavarde342               7         9         9         10        7         2         
Vardas343                Pavarde343               8         5         5         7         9         7         
Vardas344                Pavarde344               2         2         3         7         7         9         
Vardas345                Pavarde345               7         8         4         4         6         1         
Vardas346                Pavarde346               1         3         5         1         6         1         
Vardas347                Pavarde347               4         2         10        5         7         9         
Vardas348                Pavarde348               4         6         9         2         8         6         
Vardas349                Pavarde349               6         4         1         8         4         9         
Vardas350                Pavarde350               9         4         1         5         4         3         
Vardas351                Pavarde351               5         8         1         9         6         8         
Vardas352                Pavarde352               8         2         10        9         2         3         
Vardas353                Pavarde353               8         9         10        8         2         8         
Vardas354                Pavarde354               6         8         5         6         4         8         
Vardas355                Pavarde355               10        6         9         8         4         8         
Vardas356                Pavarde356               9         2         9         9         3         4         
Vardas357                Pavarde357               9         1         10        6         5         1         
Vardas358                Pavarde358               9         9         5         3         3         3         
Vardas359                Pavarde359               5         5         8         10        1         10        
Vardas360                Pavarde360               3         5         7         5         10        10        
Vardas361                Pavarde361               8         10        5         10        8         2         
Vardas362                Pavarde362               2         5         6         2         5         3         
Vardas363                Pavarde363               9         4         7         6         7         9         
Vardas364                Pavarde364               5         8         3         1         1         10        
Vardas365                Pavarde365               3         4         6         6         2         1         
Vardas366                Pavarde366               2         6         6         4         2         5         
Vardas367                Pavarde367               8         4         1         2         3         8         
Vardas368                Pavarde368               10        2         8         7         4         4         
Vardas369                Pavarde369               8         9         5         9         6         6         
Vardas370                Pavarde370               7         7         3         7         8         2         
Vardas371                Pavarde371               9         9         5         3         7         9         
Vardas372                Pavarde372               8         9         8         8         10        1         
Vardas373                Pavarde373               9         6         6         9         6         3         
Vardas374                Pavarde374               5         9         5         7         8         2         
Vardas375                Pavarde375               6         10        7         4         5         8         
Vardas376                Pavarde376               5         10        5         1         1         3         
Vardas377                Pavarde377               5         6         7         9         6         2         
Vardas378                Pavarde378               6         7         5         9         10        4         
Vardas379                Pavarde379               10        9         6         6         1         9         
Vardas380                Pavarde380               4         10        6         5         10        6         
Vardas381                Pavarde381               5         2         4         8         10        10        
Vardas382                Pavarde382               6         9         5         6         4         6         
Vardas383                Pavarde383               10        10        6         3         9         2         
Vardas384                Pavarde384               9         3         2         7         1         10        
Vardas385                Pavarde385               6         5         5         9         2         5         
Vardas386                Pavarde386               10        8         6         7         10        1         
Vardas387                Pavarde387               6         6         6         6         7         3         
Vardas388                Pavarde388               9         8         5         8         9         8         
Vardas389                Pavarde389               4         6         10        10        4         3         
Vardas390                Pavarde390               4         4         7         8         6         3         
Vardas391                Pavarde391               9         8         4         2         4         8         
Vardas392                Pavarde392               9         1         9         5         9         9         
Vardas393                Pavarde393               4         2         10        7         2         3         
Vardas394                Pavarde394               3         8         8         2         5         6         
Vardas395                Pavarde395               3         8         3         1         8         10        
Vardas396                Pavarde396               8         9         6         3         1         1         
Vardas397                Pavarde397               7         10        6         10        6         2         
Vardas398                Pavarde398               4         8         2         2         6         6         
Vardas399                Pavarde399               9         10        7         6         8         7         
Vardas400                Pavarde400               8         7         1         7         3         6         
Vardas401                Pavarde401               2         9         2         5         7         6         
Vardas402                Pavarde402               7         10        7         10        6         4         
Vardas403                Pavarde403               3         2         7         2         7         3         
Vardas404                Pavarde404               10        8         5         10        7         5         
Vardas405                Pavarde405               8         4         3         8         3         6         
