Vardas                   Pavarde                  ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas260                Pavarde260               7         4         9         5         3         7         
Vardas261                Pavarde261               8         6         1         2         7         3         
Vardas262                Pavarde262               10        10        1         8         7         1         
Vardas263                Pavarde263               5         2         4         9         3         3         
Vardas264                Pavarde264               10        10        1         7         6         3         
Vardas265                Pavarde265               7         7         9         8         1         1         
Vardas266                Pavarde266               3         9         1         6         7         2         
Vardas267                Pavarde267               3         8         6         5         3         4         
Vardas268                Pavarde268               5         5         3         1         3         6         
Vardas269                Pavarde269               4         7         8         6         8         8         
Vardas270                Pavarde270               1         10        1         8         2         4         
Vardas271                Pavarde271               3         6         9         2         4         10        
Vardas272                Pavarde272               1         5         8         2         7         4         
Vardas273                Pavarde273               10        9         10        5         5         5         
Vardas274                Pavarde274               2         8         10        5         2         9         
Vardas275                Pavarde275               1         3         7         7         9         4         
Vardas276                Pavarde276               3         5         6         7         4         3         
Vardas277                Pavarde277               1         9         8         5         1         4         
Vardas278                Pavarde278               7         5         4         8         10        6         
Vardas279                Pavarde279               9         10        1         6         4         7         
Vardas280                Pavarde280               1         4         2         3         1         1         
Vardas281                Pavarde281               2         6         1         1         2         5         
Vardas282                Pavarde282               5         7         5         6         7         1         
Vardas283                Pavarde283               9         8         4         10        7         8         
Vardas284                Pavarde284               3         9         1         7         4         4         
Vardas285                Pavarde285               5         8         5         7         8         9         
Vardas286                Pavarde286               6         8         8         2         1         8         
Vardas287                Pavarde287               10        5         5         1         8         4         
Vardas288                Pavarde288               7         7         3         7         9         4         
Vardas289                Pavarde289               7         2         3         9         8         7         
Vardas290                Pavarde290               1         7         10        7         10        9         
Vardas291                Pavarde291               1         2         1         8         4         5         
Vardas292                Pavarde292               3         2         10        8         6         5         
Vardas293                Pavarde293               5         5         2         2         8         9         
Vardas294                Pavarde294               7         3         2         7         9         5         
Vardas295                Pavarde295               4         7         5         8         1         9         
Vardas296                Pavarde296               9         3         6         10        2         7         
Vardas297                Pavarde297               5         7         9         6         4         3         
Vardas298                Pavarde298               2         8         6         1         3         1         
Vardas299                Pavarde299               9         2         1         5         10        2         
Vardas300                Pavarde300               3         3         10        3         6         9         
Vardas301                Pavarde301               5         8         5         4         1         8         
Vardas302                Pavarde302               9         2         8         6         3         4         
Vardas303                Pavarde303               8         3         6         6         10        3         
Vardas304                Pavarde304               3         8         3         5         5         3         
Vardas305                Pavarde305               9         1         3         9         9         2         
Vardas306                Pavarde306               7         5         4         3         9         7         
Vardas307                Pavarde307               9         9         5         5         6         10        
Vardas308                Pavarde308               7         7         4         9         3         8         
Vardas309                Pavarde309               2         2         4         6         9         3         
Vardas310                Pavarde310               5         1         2         1         9         3         
Vardas311                Pavarde311               1         2         4         7         3         10        
Vardas312                Pavarde312               8         1         4         9         7         1         
Vardas313                Pavarde313               7         4         8         9         4         7         
Vardas314                Pavarde314               10        6         3         9         2         4         
Vardas315                Pavarde315               4         6         9         2         9         9         
Vardas316                Pavarde316               6         1         3         2         3         4         
Vardas317                Pavarde317               10        3         7         2         10        6         
Vardas318                Pavarde318               10        3         5         8         1         1         
Vardas319                Pavarde319               9         6         9         9         3         3         
Vardas320                Pavarde320               8         2         4         7         3         6         
Vardas321                Pavarde321               8         4         10        6         6         9         
Vardas322                Pavarde322               3         4         1         3         5         8         
Vardas323                Pavarde323               7         7         4         2         9         5         
Vardas324                Pavarde324               1         4         6         6         8         4         
Vardas325                Pavarde325               3         5         8         6         9         7         
Vardas326                Pavarde326               2         2         7         5         1         4         
Vardas327                Pavarde327               1         6         8         2         9         1         
Vardas328                Pavarde328               1         8         6         3         2         9         
Vardas329                Pavarde329               5         1         4         7         7         9         
Vardas330                Pavarde330               1         5         5         3         10        6         
Vardas331                Pavarde331               9         4         7         6         4         2         
Vardas332                Pavarde332               8         4         8         3         4         3         
Vardas333                Pavarde333               9         8         10        5         1         4         
Vardas334                Pavarde334               9         10        8         2         3         10        
Vardas335                Pavarde335               5         10        2         9         3         10        
Vardas336                Pavarde336               1         9         9         3         7         10        
Vardas337                Pavarde337               3         9         6         5         9         3         
Vardas338                Pavarde338               9         4         1         3         2         10        
Vardas339                Pavarde339               10        5         8         5         9         6         
Vardas340                Pavarde340               8         9         6         7         7         4         
Vardas341                Pavarde341               10        4         10        9         5         1         
Vardas342                Pavarde342               1         5         5         9         1         4         
Vardas343                Pavarde343               1         4         1         2         10        2         
Vardas344                Pavarde344               6         4         4         5         8         5         
Vardas345                Pavarde345               5         8         4         3         7         7         
Vardas346                Pavarde346               10        9         4         5         6         9         
Vardas347                Pavarde347               5         9         5         3         8         9         
Vardas348                Pavarde348               1         2         1         7         7         9         
Vardas349                Pavarde349               10        5         8         9         7         9         
Vardas350                Pavarde350               7         2         3         3         5         9         
Vardas351                Pavarde351               6         1         5         5         7         10        
Vardas352                Pavarde352               6         6         10        10        8         6         
Vardas353                Pavarde353               10        1         7         3         3         10        
Vardas354                Pavarde354               7         4         8         7         6         9         
Vardas355                Pavarde355               6         8         3         7         9         9         
Vardas356                Pavarde356               1         3         3         5         7         1         
Vardas357                Pavarde357               1         8         5         6         9         5         
Vardas358                Pavarde358               1         9         1         2         5         5         
Vardas359                Pavarde359               10        4         7         8         8         1         
Vardas360                Pavarde360               1         6         3         6         7         8         
Vardas361                Pavarde361               8         6         10        8         9         2         
Vardas362                Pavarde362               5         9         6         6         6         10        
Vardas363                Pavarde363               5         3         2         2         2         8         
Vardas364                Pavarde364               4         3         10        3         9         1         
Vardas365                Pavarde365               4         8         2         7         6         5         
Vardas366                Pavarde366               1         10        3         10        5         9         
Vardas367                Pavarde367               10        6         2         7         3         3         
Vardas368                Pavarde368               1         2         6         4         6         4         
Vardas369                Pavarde369               1         9         9         4         8         4         
Vardas370                Pavarde370               2         8         2         2         8         10        
Vardas371                Pavarde371               3         1         8         3         4         10        
Vardas372                Pavarde372               2         10        4         6         10        9         
Vardas373                Pavarde373               10        4         10        9         10        10        
Vardas374                Pavarde374               10        1         8         1         8         7         
Vardas375                Pavarde375               6         10        10        9         6         3         
Vardas376                Pavarde376               3         3         10        3         7         8         
Vardas377                Pavarde377               1         8         6         5         5         5         
Vardas378                Pavarde378               1         1         7         6         7         5         
Vardas379                Pavarde379               2         8         6         3         5         3         
Vardas380                Pavarde380               8         7         4         5         7         5         
Vardas381                Pavarde381               1         6         8         8         8         2         
Vardas382                Pavarde382               2         8         10        1         2         10        
Vardas383                Pavarde383               10        8         6         2         8         10        
Vardas384                Pavarde384               5         8         2         3         4         4         
Vardas385                Pavarde385               1         1         6         8         2         8         
Vardas386                Pavarde386               10        7         3         3         4         4         
Vardas387                Pavarde387               6         5         10        5         6         8         
Vardas388                Pavarde388               1         2         9         8         7         9         
Vardas389                Pavarde389               10        6         5         4         2         8         
Vardas390                Pavarde390               1         1         8         4         10        3         
Vardas391                Pavarde391               1         6         1         1         4         7         
Vardas392                Pavarde392               7         7         10        3         7         7         
Vardas393                Pavarde393               2         10        7         2         7         2         
Vardas394                Pavarde394               7         4         3         3         4         5         
Vardas395                Pavarde395               5         6         3         1         6         4         
Vardas396                Pavarde396               8         7         10        4         6         4         
Vardas397                Pavarde397               1         3         10        1         1         8         
Vardas398                Pavarde398               6         7         7         10        3         6         
Vardas399                Pavarde399               6         6         6         1         10        4         
Vardas400                Pavarde400               6         1         3         4         6         8         
Vardas401                Pavarde401               3         3         1         6         9         1         
Vardas402                Pavarde402               4         8         2         10        10        7         
Vardas403                Pavarde403               10        5         9         4         8         3         
Vardas404                Pavarde404               3         6         4         9         6         6         
Vardas405                Pavarde405               9         3         4         3         9         8         
